Strategy,Participant Id,NLL,mai_acc,mp_acc,pai_acc,Session,Tested w/ XAI,XAIType,sensitivity,k,retrieval_threshold,appId,scaling_factor,explanation_type
Sensitive-features categorization,67ebb067dca1f7cf408ca0bd,0.5508880753372025,0.8333333333333334,0.6666666666666666,0.8333333333333334,2,w/o XAI,importance,4.685794919646131,1,-2.372982437072995,wine_quality,,
Sensitive-features categorization,67f05ce092cdcc0392692398,0.5760804940389125,0.8333333333333334,0.7222222222222222,0.5555555555555556,2,w/o XAI,importance,4.144369156006372,1,-3.7805104564842185,wine_quality,,
Sensitive-features categorization,67e9793b509ebd40efb7f232,0.6469030204999262,0.5555555555555556,0.6666666666666666,0.5555555555555556,2,w/o XAI,importance,4.061896260732844,3,-2.427085965394821,wine_quality,,
Sensitive-features categorization,5f85bcb11941de066ef7d941,0.26596630481871886,0.7777777777777778,0.8888888888888888,0.7777777777777778,2,w/o XAI,importance,11.592860481512902,2,-2.320622238086286,wine_quality,,
Sensitive-features categorization,680d5bc560f189075035787c,0.6692727061646578,0.8333333333333334,0.5,0.5555555555555556,2,w/o XAI,attribution,5.072803219530177,5,-4.0,wine_quality,,
Sensitive-features categorization,67e0e4d8556191648cf0bb6d,0.17412659903381772,0.7222222222222222,0.8888888888888888,0.7222222222222222,2,w/o XAI,attribution,30.21536170291353,2,-4.0,wine_quality,,
Sensitive-features categorization,66dba70d72b3d26e23c755df,0.6774672855018111,0.6666666666666666,0.6111111111111112,0.5,2,w/o XAI,attribution,1.0,2,-4.0,wine_quality,,
Sensitive-features categorization,636da58a0d76bbb9167dbf3e,0.32758688480934794,0.5,0.9444444444444444,0.5555555555555556,2,w/o XAI,attribution,20.584074912563576,1,-4.0,forest_cover,,
Sensitive-features categorization,67ef8c6bf0eff27d92180ffe,0.2174040035748197,0.7777777777777778,0.8888888888888888,0.6666666666666666,2,w/o XAI,importance,24.14794516000545,4,-2.0724217628470165,wine_quality,,
Sensitive-features categorization,6314bc49055e150c92f4736e,0.007788452086588198,0.5,1.0,0.5,2,w/o XAI,importance,74.43704278234155,4,-3.448215448335887,forest_cover,,
