feature_name,feature_index,importance_score,baseline_accuracy,accuracy_without_feature,rank
smoothness1,4,0.10924369747899165,0.9327731092436975,0.8235294117647058,1
compactness2,15,0.08403361344537819,0.9327731092436975,0.8487394957983193,2
smoothness3,24,0.0756302521008404,0.9327731092436975,0.8571428571428571,3
concavity2,16,0.0672268907563025,0.9327731092436975,0.865546218487395,4
perimeter1,2,0.0672268907563025,0.9327731092436975,0.865546218487395,5
area2,13,0.0672268907563025,0.9327731092436975,0.865546218487395,6
fractal_dimension1,9,0.05882352941176472,0.9327731092436975,0.8739495798319328,7
radius3,20,0.05882352941176472,0.9327731092436975,0.8739495798319328,8
symmetry3,28,0.050420168067226934,0.9327731092436975,0.8823529411764706,9
symmetry2,18,0.050420168067226934,0.9327731092436975,0.8823529411764706,10
compactness1,5,0.04201680672268904,0.9327731092436975,0.8907563025210085,11
concave_points3,27,0.04201680672268904,0.9327731092436975,0.8907563025210085,12
smoothness2,14,0.04201680672268904,0.9327731092436975,0.8907563025210085,13
texture1,1,0.04201680672268904,0.9327731092436975,0.8907563025210085,14
concavity3,26,0.03361344537815125,0.9327731092436975,0.8991596638655462,15
perimeter3,22,0.03361344537815125,0.9327731092436975,0.8991596638655462,16
radius1,0,0.03361344537815125,0.9327731092436975,0.8991596638655462,17
concave_points1,7,0.03361344537815125,0.9327731092436975,0.8991596638655462,18
area1,3,0.03361344537815125,0.9327731092436975,0.8991596638655462,19
concave_points2,17,0.025210084033613467,0.9327731092436975,0.907563025210084,20
texture2,11,0.025210084033613467,0.9327731092436975,0.907563025210084,21
area3,23,0.025210084033613467,0.9327731092436975,0.907563025210084,22
texture3,21,0.01680672268907568,0.9327731092436975,0.9159663865546218,23
radius2,10,0.01680672268907568,0.9327731092436975,0.9159663865546218,24
concavity1,6,0.01680672268907568,0.9327731092436975,0.9159663865546218,25
fractal_dimension2,19,0.008403361344537785,0.9327731092436975,0.9243697478991597,26
symmetry1,8,0.008403361344537785,0.9327731092436975,0.9243697478991597,27
compactness3,25,0.008403361344537785,0.9327731092436975,0.9243697478991597,28
perimeter2,12,0.0,0.9327731092436975,0.9327731092436975,29
fractal_dimension3,29,0.0,0.9327731092436975,0.9327731092436975,30
