feature_name,feature_index,importance_score,baseline_accuracy,accuracy_without_feature,rank
Glucose,1,0.06666666666666665,0.7266666666666667,0.66,1
BMI,5,-0.020000000000000018,0.7266666666666667,0.7466666666666667,2
Insulin,4,-0.026666666666666616,0.7266666666666667,0.7533333333333333,3
DPF,6,-0.026666666666666616,0.7266666666666667,0.7533333333333333,4
Age,7,-0.033333333333333326,0.7266666666666667,0.76,5
Pregnancies,0,-0.046666666666666634,0.7266666666666667,0.7733333333333333,6
BloodPressure,2,-0.053333333333333344,0.7266666666666667,0.78,7
SkinThickness,3,-0.053333333333333344,0.7266666666666667,0.78,8
